dataset,model,mode,acc,acc_std,auc,auc_std,nll,nll_std,mse,mse_std,rmse,rmse_std,f1,f1_std
elemmath_2021,SAINT,train,0.7670984241716474,0.0016384784435821247,0.7932273171600028,0.002687170036406865,0.48844478320213014,0.002408788028923541,0.16034017470927897,0.000947170122922365,0.4004232435110172,0.0011835393510912652,0.8451622738648353,0.0006857790736565556
elemmath_2021,SAINT,test,0.7582864891848254,0.00025354793221517334,0.7779559626072174,0.0001185635392699106,0.5022188337171425,0.0006811279725009051,0.16564603701384017,0.00021406543720878132,0.4069962750270145,0.00026292199399503206,0.8393033992236614,0.0008951808469492038
elemmath_2021,SAINT_Plus,train,0.764517133513411,0.0019549457286006508,0.7899106439157113,0.0027056206331331116,0.49153149557243336,0.002755384425160843,0.16162962304503722,0.0010776970062930848,0.4020296367093311,0.0013394970699665953,0.843949112030485,0.0019385795242285054
elemmath_2021,SAINT_Plus,test,0.759689540929992,0.0006906800296822253,0.7805662572273332,0.0008168491201177118,0.4998311875397937,0.0006679183699910729,0.16473789967098534,0.0002981913173375714,0.40587900263306514,0.000367277243660439,0.840783783581886,0.0012899175307777109
elemmath_2021,SAINT_Plus_Features,train,0.7647171438140613,0.0020902268636717393,0.7911581808788275,0.003996547477171441,0.4913247277634206,0.0034066317611938274,0.1615284328171963,0.0012641031673375814,0.4019029288450605,0.001571178843574604,0.8435468547168201,0.0025083335239974584
elemmath_2021,SAINT_Plus_Features,test,0.7593829078515582,0.0009665297509725883,0.7813792459791703,0.0014972065507107722,0.4999991681266964,0.0013028021141204512,0.16482976792685872,0.0005201924535171828,0.4059918197107515,0.0006405113670348795,0.8399987872999615,0.003314345310398394
ednet_kt3,DKT2,train,0.7148356491920618,0.0016204922545829262,0.7473073169974904,0.0004966248961039888,0.5506206635249005,0.0007477420149531841,0.18637747773803204,0.00040676322455933844,0.4317143222540837,0.00047084894525302917,0.8072119345583522,0.0017455901956146588
ednet_kt3,DKT2,test,0.7134504141743881,0.0014211568274879677,0.7442005724012798,0.0010290971270113809,0.553342543940572,0.002564308822727747,0.18732380157059877,0.0008291897259006524,0.4328081371953492,0.0009580960758195576,0.8062365863573593,0.003059875917879355
ednet_kt3,SAKT,train,0.7215369602429487,0.001211798176777163,0.7534950821693446,0.0014231854887883037,0.5419553040087204,0.0014549212756231726,0.18306796759999816,0.0005988212301483672,0.42786385527071974,0.0006992516533560897,0.8093450191016427,0.0014771980960755302
ednet_kt3,SAKT,test,0.7142063772413126,0.0006018898821771753,0.7392766140313649,0.0007259908425657795,0.553192471179067,0.0007101158127955201,0.18738960935863502,0.00030825645105635,0.432885068500526,0.0003561290916766692,0.8044397749510968,0.0023042201394912307
ednet_kt3,SAINT,train,0.7186803853557953,0.0014519973093721555,0.7458412764481668,0.0022194580529590426,0.5462809017429697,0.002096797161945149,0.18471797598561632,0.0008042650297366106,0.4297872745698073,0.0009352023702864992,0.8090377546208274,0.0016584471979718554
ednet_kt3,SAINT,test,0.7132953754468725,0.00031560793737593385,0.7357028288455834,0.0004000403978787764,0.5543051316815626,0.0009307718085926462,0.18779928319770667,0.0003072773599695275,0.4333580016138091,0.0003544502679578899,0.8053309046032215,0.0021652047841785363
ednet_kt3,SAINT_Plus,train,0.7174091499352502,0.0013397338359808755,0.7437053688357589,0.0021748293848049306,0.5482158600412589,0.0016174113306766983,0.1854865054766464,0.0006304305611268791,0.43068082136269314,0.0007318380985190165,0.8073956391658541,0.0026091284405083464
ednet_kt3,SAINT_Plus,test,0.7139367430416723,0.0005195892052409177,0.736790944860231,0.0006760915217367364,0.5535921514698338,0.0010025114272692994,0.18754842319983478,0.000351839717690451,0.4330684219577625,0.0004063284977821161,0.8050471319760069,0.00219829080983624
ednet_kt3,SAINT_Plus_Features,train,0.7190820837577203,0.0005458738504145211,0.745083703639484,0.0010676246640071798,0.5469438909596545,0.0014845869211027318,0.18488025488204932,0.00044627707641700036,0.4299767272857462,0.0005185312800495511,0.8092488696102835,0.001704739728182821
ednet_kt3,SAINT_Plus_Features,test,0.7161481731407301,0.00015572366826856128,0.7391119215081932,0.0003447422091873888,0.5517089567758353,0.0008171639135399512,0.1866446435765488,0.0001836724542470819,0.4320238400695051,0.00021257503958528267,0.8072580738502,0.001607771150599549
junyi_15,DKT2,train,0.8528393732259894,0.0003895146252349433,0.7974527780575416,0.0006913487063898737,0.3639432523490439,0.0010475997768312855,0.11117723421123575,0.0003061352775894782,0.3334321876524059,0.0004587467346419071,0.9168775367123079,0.0004817041599413299
junyi_15,DKT2,test,0.8526169333387184,0.0007884866865862158,0.7967829930966825,0.0009218620843151052,0.364490870767283,0.0014140712570487376,0.11136871119710509,0.0005072170299487753,0.33371864487415814,0.0007597765860282557,0.916763717442168,0.00023408198591641413
junyi_15,SAKT,train,0.8526640840354199,0.00047553542775237776,0.7979091563934432,0.0011207713873913655,0.36393639057810845,0.001061424575139952,0.11122616818452576,0.0003562932025849262,0.3335054464106475,0.0005342274426775032,0.9166587985075738,0.00029461812138889803
junyi_15,SAKT,test,0.8509365851864444,0.0006484361513813403,0.7930810022726387,0.0006541764281814819,0.36760789436165575,0.0008620910017307549,0.1125189219157439,0.00035030093123190154,0.3354379962985593,0.0005220679569035713,0.9157219684935527,0.00042766545869552723
junyi_15,SAINT,train,0.8538898337072475,0.0008085902381910822,0.8041007938551198,0.0010771651138541938,0.35982060104821245,0.001452813352050774,0.1099252367547781,0.0005278206830078019,0.3315487972638502,0.0007948507233601556,0.9172413804741527,0.0002119151367225221
junyi_15,SAINT,test,0.85078668247275,0.0003907618561458747,0.7946236642858613,0.0009739036975379763,0.36688641211913475,0.0003223006758392019,0.11234519115047367,0.00015218080265909522,0.3351792649222046,0.00022697287118070435,0.915532159495681,0.00047784063370953466
junyi_15,SAINT_Plus,train,0.8526696113450873,0.0012563453089715208,0.8001296318105211,0.0034747867712896703,0.362836431638092,0.0026998858604402607,0.1109456849126252,0.0009407053735699778,0.33308211322178816,0.0014109444826460836,0.9166237799353819,0.0005782742492843121
junyi_15,SAINT_Plus,test,0.8507438940990184,0.0009256125814817427,0.7941686980596412,0.0016617774282887722,0.36712401527579386,0.0017174395892564289,0.11243896312716886,0.0006247509598324191,0.3353179042602815,0.0009307038527529545,0.9155834715159671,0.0002918573644315081
junyi_15,SAINT_Plus_Features,train,0.8530911970952516,0.0029455627913706783,0.8133781217953999,0.00853219084954771,0.35569146145960023,0.007378175138837361,0.10918759108191159,0.0024836129560170243,0.3304144355798213,0.0037271761938085265,0.9167851859764632,0.0010932768835327138
junyi_15,SAINT_Plus_Features,test,0.8503472004757571,0.002243177427261534,0.8046920532507592,0.005623395706764528,0.3623383261533082,0.005248402172262346,0.11140901064524796,0.0017971257370828786,0.33376915106097227,0.0026766481438229477,0.9152834805559564,0.0007247428281908719
